business_code,cust_number,name_customer,clear_date,buisness_year,due_in_date,posting_id,baseline_create_date,cust_payment_terms,target,amount_in_usd,cust_payment_terms_grp,baseline_month,baseline_day,baseline_dayofweek,Allowed_Pay_Days
U001,0200761734,H E BUT systems,2019-01-15,2019.0,2019-01-16,1.0,2019-01-01,NAA8,0,11.626490997226778,NAA8,1,1,1,15
U001,0200020431,DEC in,2019-01-15,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,6.481362711190975,NAM4,1,1,1,23
U001,0200803720,DEC ,2019-01-15,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,8.615770754777232,NAM4,1,1,1,23
U001,0200020431,DEC associates,2019-01-10,2019.0,2019-01-11,1.0,2019-01-01,NAM2,0,9.114058520251561,NAM2,1,1,1,10
U001,0200592182,DECA ,2019-01-15,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,8.511496998871356,NAM4,1,1,1,23
U001,0200803720,DEC us,2019-01-15,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,5.648410699121214,NAM4,1,1,1,23
U001,0200416837,DEC corporation,2019-01-15,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,5.223378279883543,NAM4,1,1,1,23
U001,0200803720,DEC corp,2019-01-10,2019.0,2019-01-08,1.0,2019-01-01,NAM1,1,9.504453719373565,NAM1,1,1,1,7
U001,0200002965,DECA associates,2019-01-10,2019.0,2019-01-08,1.0,2019-01-01,NAM1,1,12.625338220950626,NAM1,1,1,1,7
U001,0200739534,OK co,2019-01-18,2019.0,2019-01-16,1.0,2019-01-01,NAA8,1,11.021122262257881,NAA8,1,1,1,15
U001,0200769623,WAL-MAR co,2019-01-11,2019.0,2019-01-16,1.0,2019-01-01,NAH4,0,7.210486049635436,NAH4,1,1,1,15
U001,0200769623,WAL-MAR associates,2019-01-14,2019.0,2019-01-16,1.0,2019-01-01,NAH4,0,9.899952310926876,NAH4,1,1,1,15
U001,0200744019,TARG trust,2019-01-22,2019.0,2019-01-16,1.0,2019-01-01,NAA8,1,10.15381037823054,NAA8,1,1,1,15
U001,0200230690,DECA trust,2019-01-11,2019.0,2019-01-08,1.0,2019-01-01,NAM1,1,8.373703810766374,NAM1,1,1,1,7
U001,0200353024,DECA foundation,2019-01-10,2019.0,2019-01-11,1.0,2019-01-01,NAM2,0,8.2000960397276,NAM2,1,1,1,10
U001,0200769623,WAL-MAR systems,2019-01-14,2019.0,2019-01-16,1.0,2019-01-01,NAH4,0,6.74436538206704,NAH4,1,1,1,15
U001,0200353024,DECA foundation,2019-01-15,2019.0,2019-01-24,1.0,2019-01-01,NAM4,0,6.22408306878471,NAM4,1,1,1,23
